,Unnamed: 0,Brand,Name,ID,sku,comments
10,10,clinique,dramatically different lipstick shaping lip colour,xlsimpprod19091099,2533214,
11,11,clinique,pop longwear lipstick,pimprod2043385,2619998,"  Clinique lipsticks are my favorite. The store had a nice inventory of colors.  Wouldn't buy it again but pretty lipstick color  Beautiful color  A friend suggested I try this lipstick and he was so right. Wonderful day lipstick. Love the feel and so far seems to wear well. Sales woman was very helpful in finding the right shade. Definitely going back  I was looking for a new shade for summer and this was recommended - nice, light application and fun color for summer  Unfortunately, I would not purchase this product again.  It is matte and leaves your lips too dry for my liking.
I have to say that the pigment is great and does last for a good portion of the day.  Through the years I have always like Clinique lipstick as I can always find a good color that's natural looking.  I have never been one to go with a really bold color.  Its also very smooth and creamy."
12,12,dior,addict lipstick,pimprod2036809,2604220,"  I see this more as a pigmented lip balm its creamy and glides well but since its creamy it sets into the cracks of your lips and doesnt last as much  Nice. Creamy.  Not worth almost $50.  There are so many others to choose from.  Won't buy again  Glides smoothly  I was really hoping to like this for the cost and I usually love dior makeup products, but this one is just okay. The formula is nice and it has good pigment, but the color isnt as pictured/described. I probably wouldn't buy this again.  I got this as a gift and I love it. It's very mousturizing, stains the lips beautifully and the case is so cute.l definitely will be purchasing more shades.  I have several dior lipsticks, and have had several others over the years searching for my perfect nude. I do not have a lot of pigment in my lips and am pretty fair skinned so everything shows up on me, and fairly true to color. The shade 418 Beige Oblique is my most perfect nude!!! I am 42 years old and it hides the vertical lines in my lips so well while being smooth, glossy and almost moisturizing. Although the tone is cool/neutral, it can go so well with even warm tone eyeshadow looks because the lipstick is about my perfect match of color to the inside of my lips. This is really a, ""my lips but WAY better"" type of lipstick for me. I am so worried that this shade will be discontinued because that is what happens with literally everything that works for me. I can't believe after 30 years if wearing makeup, I have finally found my perfect lipstick. Love Dior!  Does not last 6 hours like I was told - more like 60 minutes"
13,13,mac,mÂ·aÂ·cximal silky matte lipstick mini mÂ·aÂ·c,pimprod2045123,2624227,  these are amazing
14,14,stila,stay all day long wear liquid lipstick,xlsimpprod4930039,2295817,
15,15,milani,color fetish matte lipstick,pimprod2025973,2581813,"  Not sure why ive waited this long to purchase but i really love this formula and color pay off.  The color 'Peony' with a brown lip liner looks stunning. The formula is great as well, glides smoothly , the finish is velvet matt.  Nice color though for some reason it looked different in store and at home. I made sure to get a fully packaged lipstick but when I opened it at home the tip had been smushed.  Not impressed.  I loved the texture of the lipstick and how it doesn't dry out your lips. It gives a pretty good amount of product and I truly believe it is better then high-end makeup  This lipstick is a new fav! The formula goes on smoothly, the color is gorgeous and the quality is top notch. Will be returning to purchase other shades!  My holy grail fav lipstick is the charlotte tilbury pillowtalk lipstick and this is an amazing and affordable alternative! The color is super similar and goes on smooth. 10/10, a drugstore fav."
16,16,maybelline,superstay matte ink liquid lipstick,xlsimpprod16211185,2510218,
17,17,milani,color fetish balm lipstick,pimprod2021061,2573965,"  Love the color. Love that it stays on all day! Definitely need to use make up remover to take it off at night as it stays on and on!!!  Love the case.  I got the color covet on clearance. I don't know if it was a bad or old batch or what, because it felt exactly like wiping sand on my lips and was the most horrible feeling thing I've ever put on. I will be returning it and will never purchase these again.  Nylon (top pics, with a little brown liner) and Lingerie (bottom pics) in 2 different lighting on my olive-warm skin. Love this product, underrated. Balm-lipstick indeed. Color is true on website, but my lips tend to be semi-pale except for top lip.  This lipstick felt horrible. It has a sandpaper feel on my lips.  I love these balms! Very hydrating with lots of pigment. Fantastic colors!  Love this lipstick! It's my favorite! It's perfect for everyday wear. It's easy to wear and not drying at all. You will need to reapply after eating. Also, the Lingerie color is like your lip color but better!  Some Nyx lip products irritate, too."
18,18,mac,lustreglass sheer-shine lipstick,pimprod2026837,2584414,"  Some of these colors are irreplaceable!!! Nothing like them. There are no dupes. I have tried hard to find dupes. I believe myth was discontuned and peach blossom and cherish are hard to find. I would stock up. I'm devadtated that myth is no more.  Did not stay on 8 minutes let alone 8 hours  This lipstick is beautiful it feel very smooth pn my lips and it isn't really dark. It blends out so beautiful, shiny or you can dull it down a bit with tapping motions with your finger. I am on my way to buying more!!  I absolutely love this lipstick.. the color , a warm brick red, was recommended by the sales associate, Sydney.. and I am quite pleased with the shade, and ease of application!  If you want. 10/10 lipstick then buy it.  I have been wearing this color for many years  This lip color was more solid than with a pearl finish and darker once applied than expected."
19,19,nyx professional makeup,shine loud vegan high shine long-lasting liquid lipstick,pimprod2020796,2565892,"  good liquid lipstick without any transfer. Ordered 4 but 2 lipsticks was already used. What people says online about ULTA putting returns inventory back on the shelf for sale is true just be careful!!!  Makes my lips full and shiny……………so kissable!  I saw similar color with MAC...REFUSED to pay MAC price$34.  Found this and it lasts and is 1/3 price!!!! Hello?  idk if I should recommend this or not it is LONG LASTINGG!!! Don't try this on unless you want it on for hours to come. no make ip wipes and pil cleanser will not help lol.
but beautiful color and you need to apply both together. Just applying the lipstick without gloss will make it sticky  First, the colors online don't align with the true colors. For example, the one I bought, ""Fierce Flirt,"" shows as a sort of light pink online but it's much more muted in person. I also don't like how the packaging isn't super clear about the nature of the product. The color dries down to a no-budge, rubbery lip color and the clear side is just a clear gloss. The gloss applicator is a plastic brush which is sorta weird but I don't mind it. The formula stays put (you're not getting it off once it dries) but it definitely still flakes off on the inner lip and isn't super comfy to wear. I would recommend as a budget option for a smooth longwear liquid lipstick but not necessarily for anyone who isn't excited about having a rubbery somewhat flakey layer on their lips all day.  these are by far the longest lasting liquid lipsticks I've ever used and I've sued quite a bit. after an entire day I didn't have to reapply at all except just the inner ring of my bottom lip but that part on my body always needs a touch up. I wholeheartedly recommend this product!  Left my lips feeling sticky"
20,20,mac,lipstick shine,xlsimpprod15921170,2510475,
21,21,mac,lipstick cream,xlsimpprod15921180,2510479,
22,22,anastasia beverly hills,smudge-proof matte liquid lipstick,xlsimpprod13811011,2300402,
23,23,rabanne,famous lipcolor matte lipstick,pimprod2041397,2614789,  Feels good on my lips and last a long time
24,24,charlotte tilbury,k.i.s.s.i.n.g lipstick,pimprod2043358,2619409,"  This is exactly what I've been waiting for… For us extremely fair skinned lovelies ""pillow talk"" looks very warm and dark rose. This is so perfect!!! The lipliner is a must as well! I can guarantee you I will never stop buying this! If you are in the fair shade range, and love a good nude lip- go get it! You're welcome in advance!  When CT came out with the new colors, i bought three of them: Icon Baby, Red Carpet Pink, and Candy Chic. I love them all but Candy Chic is my favorite. Then, she comes out with Pillow Talk Fair!  I got it right away and fell in love. It quickly replaced my Pillow Talk, which I've been using for years. Thankfully she also came out with a gloss in Pillow Talk Fair as well. So beautiful.  I got my first charlotte tilbury lipstick in the shade Nude Romance. A perfect ""my lips but better"" shade. I really like this particular formula, the satin finish wears very nice and is very forgiving for my dry dry skin. 
It doesnt have a ton of staying power but it is still very beautiful!  This is the perfect color, perfect consistency, perfect texture. I've already ordered another one as a backup!  I have matte revolution (pillow talk & pillow talk med), but I absolutely fell in love with this formula and with the shade b*tch perfect!  For me, it is the perfect shade!  It has taken me a lot of trial & error to finc my perfect shade…but thjs dahlings!!  It is the one!  PS i also love Penelope Pink and Icon Baby but B*tch Perfect is my desert island!  I love this lipstick.  Its creamy snd a beautiful color.  Pillow Talk Fair: THIS is the shade of pink I've been searching for! I have tried many lip products tring to find the shade that looks exactly like this on my lips. Many I've tried previously all pull peach or nude on my skin tone. I am so happy to now have found the perfect for me shade."
25,25,anastasia beverly hills,lip velvet full-pigment lip mousse,pimprod2042909,2618187,"  So bummed bevause i love the look however it caused an allergic reaction and now i can hardly wear lipsticks!  I have 5 shades in these lipsticks. They are Absolute Perfection in a Liquid lipstick. This new formula does not dry out your lips. Lasts all day long and comes in the most Stunning  Muted Matte Colors. I first bought the shade Softy and it was the most gorgeous muted pink with just a touch of peach. I loved it and just had to try more. I then bought  Pink Sand and Peachy Nude. Absolutely beautiful. Pink sand has a hint more pink like a soft pink brown and the peachy nude has a soft hint of pink. Reminds me of Snashbox Always on Liquid Lipsticks in the shade Fair Game. If you know, you know.
I then purchased Pure Hollywood and Parchment. PureHollywood is a beautiful pinky mauve with a nit of brown and Parchment is that gorgeous burnt orange with a hint of brownish red.
I love every shade absolutely beautiful.  They cteate this sort of blurring effect on the lips is hard to desribe. Right up there with the Smashbox Liquid lipsticks and Dose of Colors but dare I say even more comfortable.
These are a bit pricey so get them on sale or when the 20% coupons roles around but they are worth it.
These with ABH new cream blushes especially the shade Latte is everything!
I highly recommend!  Great color great texture! 
Want more colours  Really wish it didnt hurt my lips. Love this product just developed an allergy to it. 

I didn't use it for a month to make sure. 
After wearing it my upper lip becomes irritated and blisters.  This has a soft and creamy texture. The color is spot on. I'm wearing pure Hollywood.  I love it it's so comfortable ❤️ i have two shades ill buy all of the shades!  Received Peachy Nude & Parchment. Not a fan. The only positive attribute is that you don't *really* feel like you have anything on, but otherwise they're dry, settle in any dry spots on my lips, and the peachy nude screams beef-lips, even though I'm very fair toned."
26,26,kvd beauty,everlasting hyperlight vegan transfer-proof liquid lipstick,pimprod2034060,2598998,"  PLEASE, if this brand does anything, bring back the old formula. This lipstick used to be my holy grail, until they switched formulas and it's TERRIBLE. Ever heard of the saying, ""If it aint broke, don't fix it?"" BRING BACK THE OLD FORMULA, KVD. 🙄  Ghost bloom looks like a super purple color when it's described as plum brown. The formula has changed from the old kvd I agree with others saying you need several layers of this. The packaging is pretty but feels light and cheap. Considering returning because it's not flattering.  Queen of Poisons is supposed to be the new name for the shade, Lolita, however, it is nowhere near the original Lolita shade. Very disappointing and will be returning.  The new lolita (queen of poisons) is nowhere near the shade of the old lolita. Very disappointing and will have to return!  It goes on smoothly and smells delicious like a cupcake or something. Very black. Perfect matte consistency.  KVD lipstick is my favorite but the lipstick is totally different than before. It's not as pigmented so you have to apply layers, which eventually makes your lips dry and lipstick turns flaky. I miss the old KVD liquid lipstick.  I have tried many lipsticks over the years and none of them can compare to the KVD Hyperlight Liquid Lipstick. It truly is lightweight and has wonderful pigment. It makes my lips feel smooth and sometimes I forget I'm even wearing it. I have multiple lipstick shades and I love them all!"
27,27,l'oreal,colour riche original satin lipstick,2681,2617006,"  I like all colors available. Nice lipstick.  Always searching for something 'better,' I tried Loreal Color Riche Original on a whim, after using top name brands for years. To my surprise, this product stayed on and looking fresh after a whole cup of coffee and breakfast! I absolutely love the color too. My lips feel smooth and silky and the color does not bleed.  Love this lipstick. So happy it was still available and that I could find it at Ulta !  I love the lipstick, it's rich and goes on smooth. The color lasts and it has a nice shine.  I've worked in cosmetics for a long time, I love this lipstick. Lasts a long time and doesn't bleed throughout the day.  This formula is absolutely divine. So creamy and lasts a long time too.  Honestly, I really like this lipstick! I find it very smooth, and I love the color, it looks really good and feels really nice on the lips"
28,28,colourpop,xoxo bestie lippie stix trio,pimprod2045631,2626882,
29,29,anastasia beverly hills,long-wearing matte & satin velvet lipstick,pimprod2030578,2604144,"  This is by far the best red I have ever purchased. The color is sophisticated and elegant. It's a color I can wear day or night. I'm mixed with black and white and to find a color that matches my skin tone can be challenging at times.  This has a pleasant smell, but that's the only good thing I can say. It it not long-lasting, and it bleeds off my lips so I look like a drunk who smeared lipstick all over! The color, Rose Bloom, is more peachy on me, which is not what I wanted. I'll be returning. It's more of a gloss than a lipstick.  Love the Sugar Plum Shade this is a great lipstick overall! Not too drying and a quality matte lipstick. Color is generally accurate with the swatch photos.  wearing.. Disappointed  This lipstick melts. The colors are gorgeous so I purchased two. What a huge disappointment. I need to throw them both out. I never ever had that happen with dependable brands like Este Lauder. Don't fall for great colors and trendy names.  The toffee is a perfect brick red for this cool toned silver-haired lady! My most flattering lipstick and it feels like a dream on the lips.  I bought this due to all the positive feedbacks ..but how disappointing this is after dring anything it comes off.. it states long wear NOT!!!!! You have to do better ill go back to Mac at least there's is long wear…  I truly wanted to like this Brand…. But not gonna work on me …) Dont waist your money if your looking for long wear"
30,30,bobbi brown,crushed lip color moisturizing lipstick,pimprod2024879,2583569,"  I love this lipstick I got it in color blush and its perfect to put on and go. Its smooth very sheer color. Will purchase again. Very smooth on lips not sticky at all. Love it  Genuinely, I had given up on lipstick completely. I found this brand's tinted lip balm, and fell in love so hard that I looked for what else was in store in lips, and when I saw the colors this brand had to offer? I HAD to try it. And to my UTMOST pleasure, the lipstick was absolutely wonderful. Everything other lipsticks wish they could be. The natural colors are to be adored, and the lipstick does not feel as cakey and thick as others have for me in the past. Also, the Ruby is the very first red that I've liked on myself, ever. The only bad thing I have to say is, I am sad I don't own all of them!  I am low key neutral kind of gal and this is beautiful to wear with a gloss on top.. got it in Italian Rose and it's beautiful on… stays with a gloss I am not a touch up gal so it stays for my day…  Does not cover lips well.  Excellent product  I hate to say this but I just purchased this lipstick and it tastes so bad, almost like beef tallow. The scent is terrible. I'm not sure how people buy this. Also I got a new one thinking it went rancid and nope just nasty.  This lipstick has a really buildable, sheer, color. I really like the natural finish. The only con is that it can be slightly drying, I just moisturize well overnight."
31,31,revlon,super lustrous lipstick,xlsimpprod2940211,2619145,
32,32,beautycounter,sheer genius conditioning lipstick,pimprod2038187,2606537,"  Sadly, I returned this lipstick. Ulta did not have samples available to see what the color was and when I was able to try it on, way too light for my medium skin tone. It did feel smooth and great coverage with two quick swipes. I will Ulta had samples available of the other colors available. It had a medium beige appearance, but was much lighter on. Color Pearl I would not recommend for medium skin tone. Would work if you are really fair.  I love little taste, and color of this lipstick! Totally is worth th money  Feels very nice on your lips, but color is so subtle that it should be called lip balm, not lipstick. Glad I purchased on sale because I wouldn't pay the full price for it.  I have used Beautycounter products since the first year of the company.  Sadly, they seem to discontinue every product I love.  Assuming this was just like my favorite BC lipstick, I ordered two.  Nope.  This formula is sheer and super drying.  I don't know a sheer lip product is drying but this is. I had to reapply often and then just gave up after two days and returned it.  Maybe someday BC will bring back all the good stuff.  Purchased 2 colors, orchid and lily. was so excited to get this in mail. This is more like lipstick, not sheer at all. it felt heavy and I could smell a vanilla scent.  I have always used Nars afterglow balm ( which is not a lipstick texture nor a gloss,...just a perfect mix of both with great color and moisture) in many colors and was hoping beauty counter would be very similar and I would have a few new colors. Bummed and back they go. A plus is BC is clean beauty.  They do have some fab products.  This is the BEST lipstick ever! Most other lipsticks (even the ones that are not matte) dry out my lips. However, this product moisturizes my lips and has a lovely scent. I have bought several shades and they ALL look great on me! Plus, this product is verified by the Environmental Working Group! People, we need to be conscious of what we put on (and in) our bodies! Please support the companies that recognize this, and create products to help us!  Great lip product.  Goes on great, lasts and feels good on your lips - not too sticky or tacky.  Clean too which makes it a huge bonus, especially for something you're putting on your lips!"
33,33,nyx professional makeup,soft matte lip cream lightweight liquid lipstick,xlsimpprod3020045,2268526,
34,34,kylie cosmetics,velvet lip kit,pimprod2036757,2585658,"  It dried out my lips.  Love the color and the amount of time it stays on , but it does transfer  I was pleasantly surprised about how great this lip kit is-has great saturation of color and stays on great -I am hard to please and have bought just about everything under the sun  Kylie Jenner has a lot of reputation.  I'm not sure if it's good reputation or bad reputation, but Kylie has a lot of it.  I picked this up because Chase Icon mentioned Kylie lip kits in one of her songs, so I had to know what the buzz was about.  this is a decent lip product.  I like that the product goes on easy and that the gloss and liner are a perfect match.  I'm not sure this is the best lip product at Ulta, but it does the job, and it looks nice.  Grabbed this as an impulse buy. I didn't want to like it but this beats out my previous longwear lipstick like crazy!  I'll definitely buy more colors! The liner is amazing alone or with the lipstick  I just gave a two star review for kylies lip oil, so this is not a bias review. I don't where makeup often and my lips are small in size. I wanted to buy one of kylies lip kits to try out. I wanted a more smooth velvet look rather than matte. I landed on the harmony velvet lip kit. first time user and I will be repurchasing this set along with different shades. both the lip liner and lipstick gloss glides on lips for easy application. the lipstick locks on your lips and does not smug or get on your teeth. I've drank and ate food and the lipstick has not left my lips. last all day. both the liner and liquid lipstick pair very well together ❤️ 💋 💄 xoxo  From the creaminess of the lip liner to the staying power of the lip stick. I get compliments every time I wear this shade! It's slightly matte without being dry."
35,35,maybelline,superstay ink crayon lipstick,pimprod2006734,2558100,"  Love the color and the staying power. It doesn't leave my lips dry and does last all day. It didn't rub off and just popped so nicely.  I love this product so much! The shade I use is called ""Break the Ceiling"" and it is such a gorgeous deep pink. The applicator is perfect for getting all around your lip! When applied, depending on your lighting it might look orange at first but once you step out into natural/white lighting you will see the dark pink. To really make the pink pop I add a lipgloss on top (similar color), and the ink crayon still stays on and lasts for a long time.  For me, this a convinient size of a lipstick I can throw in my purse, also this is a beautiful long wear lipstick and does'nt dry your lips at all. Beautiful colors too  It doesn't look good on dark toned women  ive repurchased this lipstick in multiple shades because i love the formula abs shade range so much- it applys smoothly and does not budge. it looks great with a glossy top or on its own as a matte look.  First time using this product and would definitely buy again.  Super easy to use and also great for travel or to keep in your purse for quick touch ups  I was very hesitant of the color because i don't usually wear red, however this product completely changed my mind. Its super creamy, soft and lasted well even after eating a giant baked potato.
give it 4 instead of 5 because I did notice i have to reapply a little bit occasionally. I wore mine with lip liner though thats personal preference. There is a slight scent to it when you smell it from the pencil, but I didn't notice it while wearing it. I think the best part that i loved was the sharpener! I really wanna get more now in different shades."
36,36,nars,"the multiple cream blush, lip and eye stick",xlsimpprod15081846,2503563,
37,37,urban decay cosmetics,vice hydrating lipstick,pimprod2026577,2584543,"  I was really excited after reading reviews of this lipstick. I'm on the hunt for a red lip that I can wear all day and can withstand eating/drinking. This fell short of my expectations. The color payoff is wonderful and it feels good on the lips, but it's definitely not transfer proof/resistent, and seemed to fade fast at the corners. The tube is also a little awkward to deal with.  I put purchased this lipstick in Ravenswood after seeing it on a friend. It's my new favorite.  ""Local"" is the perfect pink! Excellent formula, goes on smoothly and shiny, lasts for hours. Keeps my lips moist and feeling healthy. I have bought this item several times and will purchase again. Definitely worth the price.  It has a beautiful texture, I will definitely buy this brand again.  I will try another color.  This is one of my favorite lipstick formulas, i always stock up when theyre on sale. They all have great formulas. The high shine ones have great color pay off and are very moisturizing. The satin and matte are also high pigment and very comfortable, and i usuallt cant stand matte formulas because i hate dry lip products! The packaging is a little bulky but not too bad  This lipstick goes on smooth and lasting with a beautiful color which does not smear!  I honestly think this is the best lipstick and color I've ever purchased! Stays on and on!"
38,38,mac,locked kiss ink lipstick,pimprod2037470,2604777,"  I have used MAC for many years. This product is new and not as effective as others have been. I like the color but it is not as long lasting as they have been in the past.  I normally don't write reviews, but this product is definitely smudge proof! Color is beautiful and lasted through the entire day including after meals and workouts. Exactly what I was looking for! It's a little drying but not too much.  I tried this product twice, once recommended by Ulta. I went back after it didn't stay, she showed me how it stays. I tried again, did not stay.   Then the next day after wearing it, this appeared. It is going back.  Receive compliments daily and love how it has a built in lipliner,and stays on all day.I liked this so much I purchased 2 of these 

~catie  Loved the color but the lipstick comes off extremely fast.  After the first drink, the middle of my lips were faded. The color transferred to my cup and smeared at the corners of my mouth. I will not be repurchasing.  This lipstick DID NOT stay on for hardly an hour much less 24 hours! For the price I paid, it was worthless! Don't waste your money, If I could give it no stars I would."
39,39,lancÃ´me,l'absolu rouge intimatte buildable soft matte lipstick,pimprod2043287,2621138,  It dried my lips out just like I said it would do.I was told I would love it ! No I do not. Last time i will listen to a sales lady!
40,40,nyx professional makeup,smooth whip blurring matte lip cream,pimprod2034177,2598838,"  This was a new product to me, and the color was definitely a little shocking, however the lip cream does have a pretty great coverage.  Very hydrating on the lips!! Only con is does come off when eating or drinking but I do not mind it since it feels great every time I put on my lips  I initially loved this due to the comfortability and color payoff. However, it does wear off after a while, especially noticeable with the brighter colors (like red). If you don't plan on eating or drinking, and wanting a few hours of wear, then this would be fine. Not an all day kind of lipstick!  This reminds me of a cream matte lipstick. The colors are beautiful and they look nice but won't last like a liquid lip. You will have to reapply through out the day on the lips if you are doing things with your mouth like eating. I personally don't use it on my lips I use it as a cream lipstick and it sets well and last all day.  I am OBSESSED with the entire Smooth Whip line up, so much so that I've purchased 10 different colors. The colors are beautiful, and this particular formula goes on smoothly and is SUPER comfortable to wear all day. The ONLY reason I'm giving this 4 stars instead of 5 is because some of the colors are better than others. IDK why, but some of the colors seem to be more sheer than others and require an additional coat or two to get the true color. In terms of consistency and overall color, Blankie is the best one out of the bunch. One swipe on my upper and lower lip, and I have beautiful baby blue lips. I hope NYX NEVER discontinues this product line or the Blankie color. If anything I hope they add more colors in the future, like lime green or black.  Was looking for matte it appeared not to dry kept a wet look or shine on my lips 
Was just trying something different from Maybelline Matte Superstay Ink which I love and purchase there also  I have three colors of these that I have bought since getting the sample one.  The cherry red is nice but popping.   The pink I got was too bright.  The mocha is nice but it completely matches my skin tone.   I have tried layering to tone down the pink but it gets too thick.   As for feel, I love it."
41,41,dior,rouge dior lipstick,pimprod2043044,2618575,"  I needed a bold red for my lips, essential for a classic power look in women, This is a nice one.  This has beautiful color and glides smoothly on my lips but every time I used this lipstick I feel tingling and don't stay on my lips. I've had to re apply every time I will drink or eat. For the price it's disappointing since it's my first time to buy an expensive lipstick.🙄  Rose Harpers - stunning color bit it doesnt last bery long!"
42,42,buxom,full-on satin lipstick,pimprod2040581,2610397,"  The pigment is great.  Feels smooth on.  Love it!  I feel like Buxom gets slept on as a brand but they have fantastic lip products. I loved the previous Full-On Lipsticks and still wear what I have left, but these new ones are even better. They are super moisturizing and i love the colors. I got Skin Tease and the new Limited Edition Pink Crush and i love thek both. Skin Tease is a perfect nude. Im looking forward to trying mire colors.  Dried out my lips. Will be returning.  The color is great for me.  I will probably purchase it again.  I love the smooth application and the color selection.  I was excited to try this pipstick and it did not disappoint.  Doesn't last all day, but I wasn't expecting it to.  Stays smooth and is lightweight.  This formula is my absolute go to for lipstick now. I have wayyyy too many lip products but I constantly reach for this formula!
PLEASE MAKE MORE SHADES! 
I have all but one! 🩷❤️🧡"
