,Brand,Name,ID,sku,comments
10,bareminerals,complexion rescue tinted moisturizer mineral spf 30,xlsimpprod11771035,2283390,
11,bareminerals,barepro 16-hr skin-perfecting powder foundation,pimprod2030155,2589559,
12,fenty beauty by rihanna,pro filt'r soft matte longwear liquid foundation,pimprod2029862,2592558," * I was excited about this foundation due to its clean ingredients and perfect skin match. Unfortunately it is VERY cakey- I will not be buying again and wouldn't recommend it. I tried to apply in various ways and even changed my skin routine to try to minimize the separation/cakey-ness but with no luck. * I've had a lot more difficulty with this foundation than my other ones, it dries fast and ends up patchy and dry on my oily skin. The stars have to be aligned for it to agree with any of my moisturisers or primers. * I bought a shade too dark - otherwise nice application and realky is longwear snd nice cover * I loved this foundation so much!! I used all of it till it was gone and i'm still wanting to buy more!! I'm extremely pale and its always hard to find a foundation thats not too white or too orange and this is perfect! * This foundation does not dry your skin. It goes on smoothly and is the best foundation I have ever used. I am 81and it is definitely good for aged skin. * Blends in beautifully with my skin tone. I have been complimented by a few acquaintances! * i absolutely used to love this, unfortunately, they reformulated 🫩 its no longer the same its a complete no for me now. doesnt mix well with any of my powders and looks extremely blotchy under the eyes."
13,clinique,even better makeup broad spectrum spf 15 foundation,xlsimpprod10791919,2206255,
14,it cosmetics,cc+ nude glow lightweight foundation + glow serum with spf 40,pimprod2031824,2594106," * [I received this product in exchange for my honest review] Could be a good product for someone needed the opposite of what I want - too glowy for oily skin and too lightweight for the coverage I like! Found myself trying to use more or another product over top. * [I received this product in exchange for my honest review] I have used previous IT cosmetics CC foundations so I feel like I have a good feel for what they are like. This Nude Glow version is definitely more lightweight like it states. However, it feels a little oily and too slippery. While I like the natural finish (unlike the other CC foundations that feel full coverage), I am not too fond of the feeling it leaves. It feels like it can easily be swiped off. * Love that the foundation has an SPF 40 in it. The product has just the right amount of coverage and looks natural. Wears well all day. * Received this as a promotion. The coverage was decent and it felt lightweight on the skin. Unfortunately, the shade ran too dark for my complexion. While it's marketed as a glow finish, it leaned more shiny than luminous on me. Overall, comfortable to wear, but the color match and finish didn't quite work for my skin. * [I received this product in exchange for my honest review] I recieved the color medium in this IT  Costmetics color correcting skin tint the tube is easy to dispense and the color was good on me I do think that it still felt a little dry on my skin. I have super sensitive dry skin especially in winter. I usually dont buy foundation with sunscreen because it's irritating on my skin but this was OK. I loved that it's buildable and it lasts all day. I would reccomend a moisturizer before application. * [I received this product in exchange for my honest review] The formula feels light on the skin, but still gives really nice coverage — enough to even out my complexion without looking heavy or cakey.
The glow is super natural, not greasy, and it makes my skin look fresh and healthy throughout the day. I also love that it has SPF 40, which makes it perfect for everyday wear without needing an extra sunscreen layer.
It blends easily, wears well, and gives that ""your skin but better"" finish. Overall, I'm really happy with it and would definitely reach for it again! * [I received this product in exchange for my honest review] Is CC+ Nude Glow Lightweight Foundation + Glow Serum glides on the skin so nicely. Despite being lightweight it helps cover up my redness and provides a beautiful glow that can be seen in the pictures. The pictures show it's a little darker than my skin which is my fault for ordering the wrong color for the season but will be a great fit in the summer. Love that it contains 40SPF!"
15,estee lauder,futurist hydra rescue moisturizing foundation spf 45,pimprod2013152,2577966," * I'm happy with this product. Highly recommended having a color match to get the right shade for you. Good coverage plus moisturizer is a win win! * I switched from the Doublewear to this one.  At age 66, I appreciate how hydrating it feels and gives a nice dewy finish.  The coverage is nice. * Really helps minimize redness and provides a glowy look. Paired with the concealer and the doubled ended IT brush for a finished look. The proxy has a pump dispenser which makes it great for travel. * For my mature skin this was too shimmery/glowy so it enhanced pores, fine lines, and did not give a natural looking finish, it was not ling lasting and by the  end of the day looked dry * I have dry and sensitive skin, and have found it hard in the past to find a foundation that doesn't dry out or irritate my skin and doesn't settle into my fine lines. I went to Ulta and described what I wanted in a new foundation, and we tried this. It matches perfectly with my skin tone that you can't even tell I'm wearing it! It has a minimal scent, and doesn't irritate my skin. I love that you can easily build the coverage from medium to full. If I want just color correction or to cover a breakout, I use a medium coverage. I build to full if I'm going to any event. For flawless all day coverage, moisturize your face and use a good primer, and finish with a good setting spray and/or powder. This will last with sweat, allergies, crying, etc. without wiping off or needing retouching. I don't think I can ever go back to another foundation! * My search is over for a moisturizing foundation that doesn't make you look like a made up doll. It makes your skin feel great and look good too! * This blends SO beautifully, it stays on all day, it feels very luxurious on my skin, the dewy look is gorgeous. The coverage amount is perfect — not too much and yet just enough. I feel radiant in this tinted foundation/moisturizer. My new everyday!"
16,bareminerals,matte foundation broad spectrum spf 15,xlsimpprod1480002,2209455,
17,pur,4-in-1 love your selfie longwear foundation & concealer,pimprod2005671,2544533," * PUR foundation is one of the best product used on my face! My photos are clear when used and makes me smile when I look at myself. Thank you! * I'll always love this foundation. I really hope Ulta doesn't discontinue it entirely. It provides good coverage, it's lightweight, it lasts all day, and it's great for problems skin! * Best foundation I've ever used, I will never buy anything else!!! * I use it to cover my mild melasma and I love it doesn't cake like other products, it feels light and not greasy. * How can you send me used and durty product , i paid my money to receive good quality service but now i will return everything and close my credit card * Color was too dark. * Was recommended this and loved it!"
18,it cosmetics,cc+ cream natural matte foundation with spf 40,pimprod2044261,2621797," * Love that it's buildable coverage, a little goes a long way. I'm in my early 30s and it doesn't get cakey. By the end of the day I am a little shiny at times but it's nothing compared to other products. * For context, I have dry, sensitive skin with occasional breakouts. For years, it was the best foundation I used, until learning it permanently stained my towels and clothes. Initially, I thought the marks were from bleach, but later saw it was this foundation. This was a deal breaker; I cannot apply a formula to my skin that bleaches fabric. Frankly, I would give it five stars but cannot due this con. Pros: buildable coverage, natural matte— ""skin like"" finish, and excellent shade range. * I LOVE IT makeup. I literally use just about every other product. I have always used the regular CC cream foundation with the 50spf which always looked flawless on my skin. My skin is really combination but because it's more on the oily side and blot oil throughout the day, I figured I'd try the matte. Big mistake. I wish I could return it because it's awful. I have big pores especially on my nose and this makeup just sits in the pores almost like reverse freckles! And when trying to blend it into my skin, it smears and is cakey and just no. I'm going back to the normal CC line because that one melts into my skin. I do not recommend this at all. * I really like this foundation it is light weight and long lasting throughout the day. It takes very little and the coverage is great. * Didn't get my free gift * Tried this on a whim during the big 50% off sale. it is my new favorite foundation!! I love the way it looks, blends, the coverage, etc. my new staple for daily wear. * This has been my go-to CC cream for years (maybe a decade?) but with my most recent purchase in August 2025, i was disappointed to discover the formulation has completely changed. It is no longer a mineral based (zinc, titanium) sunscreen. And the coverage is way thicker. Reminds me dermablend heaviness. So frustrated by the change because it was so incredible for so long. Back to the drawing board."
19,it cosmetics,bye bye foundation full coverage moisturizer with spf 50+,xlsimpprod17611001,2523634,
20,fenty beauty by rihanna,eaze drop blurring skin tint,pimprod2031372,2592608," * It broke me out and it's progressively gotten worse, ive now got acne scars all over my face. I loved this at first because it cancled out all of my redness and matched my skin perfectly. But turns out over time it was making it more red. * The coverage of this skin tint never disappoints.  I just wish there were more shade options for us neutral girlies. * Only thing I use on my face. So lightweight with medium coverage. * Worker at location swore it was a perfect shade and i got home so excited to try it just to be orange and oxidating on my skin minutes into application. It's so drying too and more like foundation than a skin tint. I wouldn't recommend to anyone looking for your skin but better finish. * super comfortable wear. i don't like foundation, and this is perfect! just smoothes out my complexion! the shade was a great match too! in the summer it was a little light, but mixed with bronzing drops it was perfect, especially since it is a bit sheer. now when i have lost my tan, the shade match is perfect! 

[I received this product in exchange for my honest review] * [I received this product in exchange for my honest review] I love how this skin tint evens out my complexion without feeling heavy. The finish is dewy and radiant, and it lasts well throughout the day. so good * From far away it looks absolutely amazing and feels amazing. However, when close up you can see everything and it looks sort of cakey. It has an odd almost chemical-like smell."
21,it cosmetics,cc+ cream illumination spf 50+,xlsimpprod12251079,2287681,
22,nars,natural radiant longwear foundation,xlsimpprod17421227,2523136,
23,morphe,lightform extended hydration foundation,pimprod2043869,2621355," * I bought this foundation 2weeks ago. I love how it goes on with my Morphe brush! I also use the Sunrise powder & all the eye make. I have gotten compliments on my make up. So far I'm very happy with my Morphe products! * Was sold out before Christmas and I was bummed. Tried another day and it was not only back in stock, but on sale!! I'm 59 yo, and have super dry skin with rosacea as well. The formula is fairly thin/runny but it covers ssooo nicely. It's buildable without looking thick/heavy. Skin prep was; a rice toner, Neutrogena Hydro Boost serum and Hydro Boost water gel moisturizer and ELF power grip primer. Color is Light 06C * I really wanted to live it as it does offer a great hydrated glowed look , very Dewey as well but no matter what setting spray or primer I used this formula slipped all over my face . I do not have oily skin and it's not dry either , I couldn't even get my too face liquid eyeliner to glide like normal because the foundation would make it slippery . Also the pump is messy * The new formula didn't match and made my skin break out. Wish they would go back to the old formula. * Even though this product said it was hydrating, it seemed very dry & went on dry, Instead of hiding we rinles it made them more visible. I also did not like pumpt dispenser, too much makeup would always come out, much better to have a regular bottle. The only thing I like was the color. * i bought the lightest color 01N but I still feel it pulls yellow I love this foundation I'm really pale but in summer I'm dark because I use self tanner some reason when I'm pale this doesn't look as good on my skin I'm assuming because it's winter and my skin is so dry even though I moisturize really good it's super dewy so it does need to be set * Sad it was cery greta coverage mot heavy just not good for acne prone skin it was seriously dangerously beating my face into acne and i only breakout very fee times when stressed and only like 3 max i had so many come out it was horrid and i was sad because besides that i liked it if they change their formula for acne prone skin id hop on but for right now its a loss"
24,tarte,face tape full coverage foundation,pimprod2003933,2540290," * I Was very excited to try this foundation out! Unfortunately, it made my skin super dry and breakout! The Coverage also was not what I would expect from a full coverage foundation. The Only upside is that it did feel light on the skin and not heavy. * This is the HOLY GRAIL of all foundations; it's true. I'm shocked. I had to change my skincare routine, especially my foundation, after 40yo, due to creasing. This DOES NOT CREASE. Amazing!! It is waterproof, lasts more than 24 hours, & it's as smooth as it gets. I am in love, & this is now my go to foundation for full glam days. I did have trouble with color matching, as the new 20B was far too white/caspery, but the 22B was nearly spot on. 27B was far too orange for me. The whiter colors run especially light ladies; up yourself to a shade darker than you think you'll need & you should be good. :-) * I like the way it looks on me, does not cake and looks natural * I wanted a full coverage foundation & an Ulta beauty rep. recommend this foundation. On a spot check at the store, it looked good. However, when I put it on my whole face at home, I saw wrinkles I had never seen before! This foundation is so think it settled into my fine lines and pores making them look bigger. * Flawless finish. * Foundation in neutral is very orange
Love the coverage but color choices are hard to match my complexion * This is my go to foundation. I love the coverage, the range of shades and my skin is happy with it on. Pair it with a great primer and top it with a good setting spray and you're golden from morning until night."
25,lancÃ´me,dual finish multi-tasking lightweight pressed powder foundation,xlsimpprod3650148,2235364,
26,pÃ¼r,4-in-1 pressed mineral makeup broad spectrum spf 15,xlsimpprod3790037,2236106,
27,maybelline,super stay 24h skin tint + vitamin c,pimprod2039657,2610817," * This is probably one of the best ""foundations"" I've used. And I've used Nars, Estee Lauder, GA Luminous Silk, Hourglass, Tarte, you name it! Coverage is great for me. I have some discoloration and hyperpigmentation - nothing crazy and this covers almost all of it to even out my complexion. Its amazing, hydrating, and even a little glowy. Not to mention its an absolitely perfect color match - something thats super difficult for me as a pale/light olive (118). * Applies great with a brush and looks nice on the skin * I loved this product so much because I hate feeling like anything is on my face, and this makes my skin feel healthy and bare in the best way possible. The only reason im giving it a 4 star rating is because Ulta's shade matcher gave me a darker shade so thats a technical issue. But the product itself is just beautiful. Just be aware that if you're using the Ulta shade finder, it might be a little inaccurate. * 100000/10 recommend!! I would say I have combo skin more leaning to the dry side. This product is my holy grail. I used a $60 foundation months back and regret paying that money for horrible foundation. This one has never let me down! * The product goes on very easily and leaves an almost instant matt finish, yet still blend-able even after it starts to dry. I have dry skin and even though it dries down almosy instantly, it doesn't feel like it's making my skin feel even more dry and doesn't cling to any dry patches. It does however get into my smile creases, but i have pretty defined lines so that's expected. * My skin is combo mostly dry and this foundation looks gorgeous on my skin. It does not look cakey throught the day and the longevity is good. Highly recommended for people with dry or combo skin. * Goes on smoothly. Perfect balance for my combination skin. Just the right amount of coverage. Highly recommend!"
28,beautycounter,skin twin featherweight foundation,pimprod2038184,2606483," * I truely like the way the foundation glides on and covers. * I had high hopes for this foundation, considering all the positive reviews, but I found it to be subpar. The smell was absolutely terrible, I found the coverage to be uneven, and after an hour or so of wear, I looked in the mirror and it really exaggerated my fine lines and pores. I for sure would not recommend this foundation to anybody over the age of 35. * This is a no for me. It smells terrible and does not work on my skin. Exaggerates dry spots, separates in oily areas, and looks cakey with any amount of product. I've tried applying with fingers, brushes, and sponges. I'm really disappointed I spent so much on it. Drugstore foundations are much better quality than this one! * This is a difficult foundation to work with, the coverage never looks even to me and it's not buildable. up close, I can see it pills on my skin if I pass the sponge over it more than a couple of times. cream products don't layer over it well - it's hard to blend cream blush, bronzer and highlighter on top and it transfers and moves all over the face. It doesn't really set down, even with powder. I have dry skin and never have issues with uneven coverage or getting a foundation to set down, with or without setting powder. I'm just not a fan, I have wet n wild, Catrice, urban decay and Pat McGrath foundations that all perform better across the cost spectrum. * This a wonderful foundation. It gives perfect coverage, making my skin look dewy and fresh.   The best part is that it is a clean product, without the bad stuff.I love this brand. * Not enough coverage for my aging skin! * Unsure. It's not like it's a bad product. I feel it's good quality. I think maybe for a lighter foundation could be a good find. I feel for the price, what my expectations were; not a good buy necessarily. Fell a bit flat for me. I've also only used a couple (2-3) times. Maybe it grows. My skin feels nice.
I don't feel excited afterwords-if that makes sense? Sometimes I put on foundation and I'm like ""OO-Hello there!"" I put this on and feel like…ehh. Best way I can put it. I did have a more positive prospective when adding a glow enhancer. It's ok."
29,clinique,superpowder double face makeup foundation,xlsimpprod10791897,2260625,
30,it cosmetics,cc+ airbrush perfecting powder foundation,pimprod2005433,2543894," * This powder foundation has so much potential, but because of the VERY limited color options, this turned out to be a no for me. I went with the Medium shade because Light was super white on me. The Medium shade looked good in the compact while I was at the store, but after putting it on in better lighting it showed as peach on me. Not a good look! The longer I wore it, the more orange it became. Returned. * Love it! I have very oily, acne prone skin, but this powder is a miracle worker! It controls the oil, covers all my unevenness and cystic acne scars. I feel like I have finally found my forever powder foundation. I am 61 years old, and I have spent a lot of money thru the years trying to find something that gave me good coverage and not make me oily. This is it. Hoping that It Cosmetics never changes this powder. * Goes on smooth as a finish. Works well and does not crease. It is my go to! * A light feeling medium coverage foundation that does not enhance deep wrinkles. It is perfect for a natural look. * Love the cc+ plus brand all together! Use all their products for my face & always get compliments. Nice recommendation from the store associate & overall good experience! Will buy again!! * I don't understand why all the negative reviews. first this powder is amazing, it's lightweight but you can apply more for more coverage. I FINALLY FOUND A POWDER THAT COVERS ALL THE REDNESS ON MY CHEEKS! no joke. it doesn't cause my face to look oily, no blotting sheets necessary. it lasts all day. another thing is I appreciate the small pad that comes with the powder just in case you want to reapply in the middle of the day, but the good news is I can leave my powder at home, because it lasts throughout my day. people compliment me & wonder what I am using. I buy another powder and always go back to this one. it doesn't sink into your pores and make them look huge or settle in the creases of your face, it just looks natural not a cakey powder. & no more redness. I do use the liquid foundation on some days and I love it too! can't go wrong with this powder. * I'm not super oily by any means, but this product acts like I'm an oil slick. 
I normally use the lancome pressed powder and it looks dry until alil oil mixes, then it doesn't look like makeup at all.  this powder once you apply it looks great, but after 30 minutes it's slipping and sliding around my face. any little touch to the face and it'll come right off. and don't get me started on the shade range.
so if you have super dry skin, doesn't make any oil at all, you'll be fine. everyone else find a different option."
31,kvd beauty,good apple full-coverage transfer-proof serum foundation,pimprod2037872,2604570," * I have literally never had a foundation flake and literally crumble off of my face like this. My skincare and prep is great and other foundations never do this and I have tried many. * Color is perfect,  doesnt look fake and blends well. * the best foundation ever!!!!! it makes me look like i am wearing nothing and my skin is clear and glowing, a little bit goes a long way, also its a perfect match. * I really like this foundation, it is so pretty!! Lovely!! I like it so much, I bought another bottle just in case  they discontinue this. And the match was perfect! Transfer proof-check, sweat proof, check, and it feels so light on my face. I will be buying this again for sure! * This foundation to so good. I'd put it one par with Estee Lauder Double Wear. Similar but better. Looks like skin. Super light weight and give full coverage. Can't imagine what other didnt like about it. * The best foundation I've used ever. It has a skin like look and blends perfectly. You can also build on top of it really nicely. I use it for stage make up so I put a lot of layers on top and it works very nicely. * I was so let down by this foundation. I thought it would be a good fit for me since its a full coverage foundation that is supposed to feel like a serum. But it ended up looking cakey almost immediately, and 30 mins later it began to separate badly in my nose. It just looked horrible. I've tried changing up my primer, powder, etc and it's still the same. I really wanted to love it since it is full coverage, but at what cost? I cant wear it at all because I work high-end retail sales, and how I present myself at work is important. Super disappointing. I've never had this issue with a foundation before."
32,nars,pure radiant tinted moisturizer spf 30,xlsimpprod15251329,2504411,
33,l'orÃ©al,infallible fresh wear 24hr foundation,pimprod2002481,2538170," * omg i exchanged the maybelline super stay for this one and OMG IM OBSESSED!!! has a super airbrushed finish pair it with elf putty primer * chefs kiss *, i have oily skin and this foundation is perfect! i love it! * This is mone of my favorite foundation it is full coverage .is a 10 out of 10 * I love how much coverage i get with this product and how thin the foundation feels on my skin. I hate cakey foundations that are uncomfortable to wear. L'Oréal really produced a beautiful product. I also love the packaging its slick and almost feels like luxury make up. I own alot of foundations and this would be one of my top 10! * As the headline says. This combined with the L'Oréal infallible setting spray. 5 stars. I've always been an expensive foundation girlie but I will never buy an expensive makeup again. If it helps I also work in a hot factory & it stays put! * Love coverage and humectan my skin face. * Lasts all day long for and as someone who struggles with acne and scars it does an amazing job doe coverage. * I bought this as an impulse buy and I think I'll be returning it. I enjoyed the coverage and it doesn't irritate my sensitive, acne-prone skin but I would not recommend UNLESS you have SUPER oily skin. My skin is combination but seems to be more dry with age and the colder months + being in a dryer climate. After applying, my skin felt so tight and dry; I felt like it accentuated my aging skin. The first time I used it, I had a moisturizer AND a BB cream underneath and found it was too drying. The next time I used it, I put Vaseline under it, but it still seemed drying. Maybe applying it with a damp sponge would help in my case?"
34,bareminerals,barepro 24hr wear skin-perfecting matte liquid foundation mineral spf 20,pimprod2043221,2619781," * I used the original for years, I tried the new version and it is terrible. It oxidized and turned my face a weird shade of orangy maple. It rubs off easier and is pretty drying.
Like many have stated, if you have a best selling product why reimagine it when literally nobody asked for the change.
Sadly, I am on the hunt for a new foundation and would not recommend this to anyone. * Love the bare minerals make up and products! * I have been using this product for several years. I am a 70+ female with good skin and was a little hesitant to try a matte foundation.  I also have super sensitive skin that reacts to just about everything, but I have no problem with bareMinerals Bare Pro.  One needs to use very little to get superb coverage and it doesn't settle into fine lines or wrinkles.

My only complaint is the color choices. I am fair with pink undertones.  The shade I used to use was discontinued and trying to find a replacement shade was very difficult as even those labeled as ""cool"" come across very orangey. I don't know why so many cosmetic companies has started developing foundation formulas that have orange undertones, but most of them do. I ended up going with the fairest of the fair, which is a little too light and then shows the next shade down, which is a bit orange. But by mixing the two together, I come up with a perfect match. * Love this makeup * I have purchased the wrong shade to match my skin tone, it was darker then my original shade that I would get which is my current brand is 55 Warm Deep and I found out it is only available online. I will get the one I have been using for years online. * Love using a light layer of this over the tinted moisturizer by the same brand for a bit more coverage. Would love to try a glowy version! * I have been using this foundation for years.
Works well for sensitive acne prone skin."
35,polite society,more than a pretty face skin-caring foundation,pimprod2040619,2615174," * does not absorb into skin.  Result is cakey and dull * Have been using this off an on since September and the pump just decided to stop working. Thankfully had a spare airpump that I was able to tansfer the product too even though I'm sure I lost some in the switch. Other than that really like the foundation. * Love love love this product!! Great foundation but I wish it was in a different kind of bottle. After the first couple of uses the pump just did not want to work well at all, it would either squirt all over my clothes, in a different direction, or not want to pump out at all, leading to lots of wasted product. Not happy at all with that. * I noticed i had to oump several times to get some prodcut. I thought it was just the applicator. Nope. Barely used 5 times and no product. Plus…. Eas to heavy and didnt blend with my other products. * so I bought this on Black Friday trying it on now so far it feels pretty good 
I think I will buy again * This is a great foundation, is long lasting for my oily leaning skin and the color matche is perfect. I'm very light neutral and I always have a hard time finding a foundation match since I'm between fair and light. The only problem is after three months of use the pump broke I'm I'm having to unscrew it and use the pump stick to get the foundation out, but it is very messy. I contacted polite society but they said they couldn't do anything since I bought it from Ulta and I need to return it to Ulta, but it's past the return time. it's a great foundation, but the pump breaking is disappointing and I've seen other reviewers have the same issue. * My skin gets very oily no matter what I do often, even with some primers and powders, the only foundation that have hold me and never let me down is EsteLauder double wear. Anyways I saw this one because so many people have talk about it, the shade match is on point and is very light on the skin. So far have been great and doesn't goes oily fast, stay in place and still look flawless all day, after couple of hours can get a little oily but with powder it looks like I just get my makeup done. Is very good and little goes a long way. No complaints about it, works great and keeps me matte when use with huda powder."
36,lancÃ´me,rÃ©nergie lift makeup lightweight liquid foundation spf 27,xlsimpprod3650154,2561672,
37,clinique,beyond perfecting foundation + concealer,xlsimpprod12021005,2282753,
38,clinique,even better clinical serum foundation broad spectrum spf 25,pimprod2021174,2574625," * I love this foundation. I use ""Fair"" and it is perfect for my cool pale complexion. This gives me a smooth appearance without being at all cakey or shiny. I was using a shade liter before, and it settled into my pores, but this color does not -- I am not sure why that is true. This foundation lasts all day and helps my other makeuup stay in place without using primer. * I needed to buy the stay matte oil free foundation, but could not find online at Ulta. This seemed to be the best match. I like the pump and ease of putting on my face. I also like the way my powder rouge stays on all day. However, I do not like that it is flaky looking on my skin. I wish I could return. It works for now, but will not purchase again. * I've have used this product for several years, and like that it's easy to use, and applies nicely., and has some sun block qualities to it. * Looks very natural. * This product went full cake by lunch. Very drying, is definitely NOT for dry or combo skin types. Buyer beware. * I love the coverage! * The coverage has been great thus far"
39,natasha denona,hy-glam powder foundation,pimprod2044289,2624364," * I tried this powder foundation two times so far and I love how it applies and the coverage is perfect for my oily skin. The powder is smooth and I love how it makes my skin look. I love it. * This product was introduced to me by one of the Ulta employees. And I love it!!! The coverage is perfect and last all day long for me. * Ulta to my surprise doesnt seem to sell the refill size pans (which are only like $39 [usa]) so they dont even bother to mention that they exist at all!   What a shame because its much better for the environment to just buy refill pans after getting the full component.  Its also meant to be a great way to keep the product affordable!    Go check out the ND website or beautylish for refill purchasing. * Very good product I will buy again. * This powder foundation lives up to the hype. Great coverage that is buildable and wears well, even with my oily complexion. The Ulta associate really helped me find the best color match, as there are many shades available for this foundation. * I absolutely love this powder. I struggle with getting the right coverage for my skin type (sensitive, rosacea) with liquid foundation. I prefer a more natural look and this made me look airbrushed as well! * I bought this powder foundation after reading reviews and wish I had bought it sooner! Good coverage and doesn't settle into my pores or wrinkles like other products I've tried. Doesn't oxidize or turn orangey after a few hours of wear and last well throughout the day. This is my new go to for day to day use!"
40,it cosmetics,celebration full coverage powder foundation,xlsimpprod5770253,2264055,
